question,answer
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2022 Q1?,39240000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2022 Q2?,28168000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2022 Q3?,24600000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2022 Q4?,50984000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2023 Q1?,38140000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2023 Q2?,48714000000.0
How much revenue does Potato Inc. make from Rest of Asia Pacific in 2023 Q3?,22520000000.0
How much revenue does Potato Inc. make from Smartphones in 2015 Q1?,205000000000.0
How much revenue does Potato Inc. make from Smartphones in 2015 Q2?,322000000000.0
How much revenue does Potato Inc. make from Smartphones in 2015 Q3?,94101120000.0
How much revenue does Potato Inc. make from Smartphones in 2015 Q4?,258000000000.0
How much revenue does Potato Inc. make from Smartphones in 2016 Q1?,155000000000.0
How much revenue does Potato Inc. make from Smartphones in 2016 Q2?,296000000000.0
How much revenue does Potato Inc. make from Smartphones in 2016 Q3?,192000000000.0
How much revenue does Potato Inc. make from Smartphones in 2016 Q4?,141000000000.0
How much revenue does Potato Inc. make from Smartphones in 2017 Q1?,163000000000.0
How much revenue does Potato Inc. make from Smartphones in 2017 Q2?,99841170000.0
How much revenue does Potato Inc. make from Smartphones in 2017 Q3?,174000000000.0
How much revenue does Potato Inc. make from Smartphones in 2017 Q4?,144000000000.0
How much revenue does Potato Inc. make from Smartphones in 2018 Q1?,308000000000.0
How much revenue does Potato Inc. make from Smartphones in 2018 Q2?,0.0
How much revenue does Potato Inc. make from Smartphones in 2018 Q3?,120000000000.0
How much revenue does Potato Inc. make from Smartphones in 2018 Q4?,297000000000.0
How much revenue does Potato Inc. make from Smartphones in 2019 Q1?,312000000000.0
How much revenue does Potato Inc. make from Smartphones in 2019 Q2?,248000000000.0
How much revenue does Potato Inc. make from Smartphones in 2019 Q3?,104000000000.0
How much revenue does Potato Inc. make from Smartphones in 2019 Q4?,167000000000.0
How much revenue does Potato Inc. make from Smartphones in 2020 Q1?,224000000000.0
How much revenue does Potato Inc. make from Smartphones in 2020 Q2?,86886000000.0
How much revenue does Potato Inc. make from Smartphones in 2020 Q3?,79254000000.0
How much revenue does Potato Inc. make from Smartphones in 2020 Q4?,132000000000.0
How much revenue does Potato Inc. make from Smartphones in 2021 Q1?,459000000000.0
How much revenue does Potato Inc. make from Smartphones in 2021 Q2?,240000000000.0
How much revenue does Potato Inc. make from Smartphones in 2021 Q3?,79140000000.0
How much revenue does Potato Inc. make from Smartphones in 2021 Q4?,117000000000.0
How much revenue does Potato Inc. make from Smartphones in 2022 Q1?,573000000000.0
How much revenue does Potato Inc. make from Smartphones in 2022 Q2?,253000000000.0
How much revenue does Potato Inc. make from Smartphones in 2022 Q3?,203000000000.0
How much revenue does Potato Inc. make from Smartphones in 2022 Q4?,128000000000.0
How much revenue does Potato Inc. make from Smartphones in 2023 Q1?,460000000000.0
How much revenue does Potato Inc. make from Smartphones in 2023 Q2?,205000000000.0
How much revenue does Potato Inc. make from Smartphones in 2023 Q3?,159000000000.0
How much revenue does Potato Inc. make from Tablets in 2015 Q1?,44797300000.0
How much revenue does Potato Inc. make from Tablets in 2015 Q2?,10859472000.0
How much revenue does Potato Inc. make from Tablets in 2015 Q3?,40845600000.0
How much revenue does Potato Inc. make from Tablets in 2015 Q4?,17098000000.0
How much revenue does Potato Inc. make from Tablets in 2016 Q1?,35431290000.0
How much revenue does Potato Inc. make from Tablets in 2016 Q2?,30903327000.0
How much revenue does Potato Inc. make from Tablets in 2016 Q3?,29253816000.0
How much revenue does Potato Inc. make from Tablets in 2016 Q4?,12761940000.0
How much revenue does Potato Inc. make from Tablets in 2017 Q1?,11063020000.0
How much revenue does Potato Inc. make from Tablets in 2017 Q2?,11666655000.0
How much revenue does Potato Inc. make from Tablets in 2017 Q3?,0.0
How much revenue does Potato Inc. make from Tablets in 2017 Q4?,14400000000.0
How much revenue does Potato Inc. make from Tablets in 2018 Q1?,23600000000.0
How much revenue does Potato Inc. make from Tablets in 2018 Q2?,24600000000.0
How much revenue does Potato Inc. make from Tablets in 2018 Q3?,28446000000.0
How much revenue does Potato Inc. make from Tablets in 2018 Q4?,16356000000.0
How much revenue does Potato Inc. make from Tablets in 2019 Q1?,47103000000.0
How much revenue does Potato Inc. make from Tablets in 2019 Q2?,29232000000.0
How much revenue does Potato Inc. make from Tablets in 2019 Q3?,23280000000.0
How much revenue does Potato Inc. make from Tablets in 2019 Q4?,27936000000.0
How much revenue does Potato Inc. make from Tablets in 2020 Q1?,29885000000.0
How much revenue does Potato Inc. make from Tablets in 2020 Q2?,26208000000.0
How much revenue does Potato Inc. make from Tablets in 2020 Q3?,39492000000.0
How much revenue does Potato Inc. make from Tablets in 2020 Q4?,58475000000.0
How much revenue does Potato Inc. make from Tablets in 2021 Q1?,67480000000.0
How much revenue does Potato Inc. make from Tablets in 2021 Q2?,31228000000.0
How much revenue does Potato Inc. make from Tablets in 2021 Q3?,44208000000.0
How much revenue does Potato Inc. make from Tablets in 2021 Q4?,33008000000.0
How much revenue does Potato Inc. make from Tablets in 2022 Q1?,57984000000.0
How much revenue does Potato Inc. make from Tablets in 2022 Q2?,68814000000.0
How much revenue does Potato Inc. make from Tablets in 2022 Q3?,21672000000.0
How much revenue does Potato Inc. make from Tablets in 2022 Q4?,35870000000.0
How much revenue does Potato Inc. make from Tablets in 2023 Q1?,59616000000.0
How much revenue does Potato Inc. make from Tablets in 2023 Q2?,50176000000.0
How much revenue does Potato Inc. make from Tablets in 2023 Q3?,46328000000.0
How much revenue does Potato Inc. make from Computers in 2015 Q1?,20835780000.0
How much revenue does Potato Inc. make from Computers in 2015 Q2?,28076840000.0
How much revenue does Potato Inc. make from Computers in 2015 Q3?,36188160000.0
How much revenue does Potato Inc. make from Computers in 2015 Q4?,34402000000.0
How much revenue does Potato Inc. make from Computers in 2016 Q1?,20234529000.0
How much revenue does Potato Inc. make from Computers in 2016 Q2?,15322710000.0
How much revenue does Potato Inc. make from Computers in 2016 Q3?,36679524000.0
How much revenue does Potato Inc. make from Computers in 2016 Q4?,28695625000.0
How much revenue does Potato Inc. make from Computers in 2017 Q1?,57979000000.0
How much revenue does Potato Inc. make from Computers in 2017 Q2?,52618995000.0
How much revenue does Potato Inc. make from Computers in 2017 Q3?,39161584000.0
How much revenue does Potato Inc. make from Computers in 2017 Q4?,50400000000.0
How much revenue does Potato Inc. make from Computers in 2018 Q1?,34500000000.0
How much revenue does Potato Inc. make from Computers in 2018 Q2?,35400000000.0
How much revenue does Potato Inc. make from Computers in 2018 Q3?,21320000000.0
How much revenue does Potato Inc. make from Computers in 2018 Q4?,51877000000.0
How much revenue does Potato Inc. make from Computers in 2019 Q1?,29664000000.0
How much revenue does Potato Inc. make from Computers in 2019 Q2?,44104000000.0
How much revenue does Potato Inc. make from Computers in 2019 Q3?,25115000000.0
How much revenue does Potato Inc. make from Computers in 2019 Q4?,48937000000.0
How much revenue does Potato Inc. make from Computers in 2020 Q1?,50120000000.0
How much revenue does Potato Inc. make from Computers in 2020 Q2?,26755000000.0
How much revenue does Potato Inc. make from Computers in 2020 Q3?,49553000000.0
How much revenue does Potato Inc. make from Computers in 2020 Q4?,20670000000.0
How much revenue does Potato Inc. make from Computers in 2021 Q1?,60725000000.0
How much revenue does Potato Inc. make from Computers in 2021 Q2?,27306000000.0
How much revenue does Potato Inc. make from Computers in 2021 Q3?,49410000000.0
How much revenue does Potato Inc. make from Computers in 2021 Q4?,36712000000.0
How much revenue does Potato Inc. make from Computers in 2022 Q1?,54260000000.0
How much revenue does Potato Inc. make from Computers in 2022 Q2?,52175000000.0
How much revenue does Potato Inc. make from Computers in 2022 Q3?,59056000000.0
How much revenue does Potato Inc. make from Computers in 2022 Q4?,23016000000.0
How much revenue does Potato Inc. make from Computers in 2023 Q1?,61880000000.0
How much revenue does Potato Inc. make from Computers in 2023 Q2?,46690000000.0
How much revenue does Potato Inc. make from Computers in 2023 Q3?,34200000000.0
How much revenue does Potato Inc. make from Services in 2015 Q1?,43171020000.0
How much revenue does Potato Inc. make from Services in 2015 Q2?,19978644000.0
How much revenue does Potato Inc. make from Services in 2015 Q3?,10058880000.0
How much revenue does Potato Inc. make from Services in 2015 Q4?,40705600000.0
How much revenue does Potato Inc. make from Services in 2016 Q1?,18163278000.0
How much revenue does Potato Inc. make from Services in 2016 Q2?,29962725000.0
How much revenue does Potato Inc. make from Services in 2016 Q3?,17930988000.0
How much revenue does Potato Inc. make from Services in 2016 Q4?,37948500000.0
How much revenue does Potato Inc. make from Services in 2017 Q1?,50183175000.0
How much revenue does Potato Inc. make from Services in 2017 Q2?,42253926000.0
How much revenue does Potato Inc. make from Services in 2017 Q3?,58124800000.0
How much revenue does Potato Inc. make from Services in 2017 Q4?,42500000000.0
How much revenue does Potato Inc. make from Services in 2018 Q1?,42500000000.0
How much revenue does Potato Inc. make from Services in 2018 Q2?,73600000000.0
How much revenue does Potato Inc. make from Services in 2018 Q3?,76384000000.0
How much revenue does Potato Inc. make from Services in 2018 Q4?,59886000000.0
How much revenue does Potato Inc. make from Services in 2019 Q1?,65250000000.0
How much revenue does Potato Inc. make from Services in 2019 Q2?,68700000000.0
How much revenue does Potato Inc. make from Services in 2019 Q3?,57300000000.0
How much revenue does Potato Inc. make from Services in 2019 Q4?,75066000000.0
How much revenue does Potato Inc. make from Services in 2020 Q1?,50860000000.0
How much revenue does Potato Inc. make from Services in 2020 Q2?,26696000000.0
How much revenue does Potato Inc. make from Services in 2020 Q3?,118000000000.0
How much revenue does Potato Inc. make from Services in 2020 Q4?,29098000000.0
How much revenue does Potato Inc. make from Services in 2021 Q1?,110000000000.0
How much revenue does Potato Inc. make from Services in 2021 Q2?,67604000000.0
How much revenue does Potato Inc. make from Services in 2021 Q3?,87430000000.0
How much revenue does Potato Inc. make from Services in 2021 Q4?,91385000000.0
How much revenue does Potato Inc. make from Services in 2022 Q1?,137000000000.0
How much revenue does Potato Inc. make from Services in 2022 Q2?,79284000000.0
How much revenue does Potato Inc. make from Services in 2022 Q3?,137000000000.0
How much revenue does Potato Inc. make from Services in 2022 Q4?,173000000000.0
How much revenue does Potato Inc. make from Services in 2023 Q1?,125000000000.0
How much revenue does Potato Inc. make from Services in 2023 Q2?,167000000000.0
How much revenue does Potato Inc. make from Services in 2023 Q3?,63639000000.0
How much revenue does Potato Inc. make from Other in 2015 Q1?,13428000000.0
How much revenue does Potato Inc. make from Other in 2015 Q2?,13504728000.0
How much revenue does Potato Inc. make from Other in 2015 Q3?,10554880000.0
How much revenue does Potato Inc. make from Other in 2015 Q4?,24390400000.0
How much revenue does Potato Inc. make from Other in 2016 Q1?,17389404000.0
How much revenue does Potato Inc. make from Other in 2016 Q2?,13138086000.0
How much revenue does Potato Inc. make from Other in 2016 Q3?,15537648000.0
How much revenue does Potato Inc. make from Other in 2016 Q4?,14223660000.0
How much revenue does Potato Inc. make from Other in 2017 Q1?,24163140000.0
How much revenue does Potato Inc. make from Other in 2017 Q2?,11492052000.0
How much revenue does Potato Inc. make from Other in 2017 Q3?,16200000000.0
How much revenue does Potato Inc. make from Other in 2017 Q4?,25600000000.0
How much revenue does Potato Inc. make from Other in 2018 Q1?,33000000000.0
How much revenue does Potato Inc. make from Other in 2018 Q2?,24000000000.0
How much revenue does Potato Inc. make from Other in 2018 Q3?,26180000000.0
How much revenue does Potato Inc. make from Other in 2018 Q4?,16936000000.0
How much revenue does Potato Inc. make from Other in 2019 Q1?,21924000000.0
How much revenue does Potato Inc. make from Other in 2019 Q2?,20516000000.0
How much revenue does Potato Inc. make from Other in 2019 Q3?,11050000000.0
How much revenue does Potato Inc. make from Other in 2019 Q4?,13040000000.0
How much revenue does Potato Inc. make from Other in 2020 Q1?,50050000000.0
How much revenue does Potato Inc. make from Other in 2020 Q2?,31420000000.0
How much revenue does Potato Inc. make from Other in 2020 Q3?,12900000000.0
How much revenue does Potato Inc. make from Other in 2020 Q4?,63008000000.0
How much revenue does Potato Inc. make from Other in 2021 Q1?,104000000000.0
How much revenue does Potato Inc. make from Other in 2021 Q2?,47016000000.0
How much revenue does Potato Inc. make from Other in 2021 Q3?,26325000000.0
How much revenue does Potato Inc. make from Other in 2021 Q4?,26355000000.0
How much revenue does Potato Inc. make from Other in 2022 Q1?,58804000000.0
How much revenue does Potato Inc. make from Other in 2022 Q2?,79254000000.0
How much revenue does Potato Inc. make from Other in 2022 Q3?,32336000000.0
How much revenue does Potato Inc. make from Other in 2022 Q4?,48250000000.0
How much revenue does Potato Inc. make from Other in 2023 Q1?,80892000000.0
How much revenue does Potato Inc. make from Other in 2023 Q2?,35028000000.0
How much revenue does Potato Inc. make from Other in 2023 Q3?,24852000000.0
